	mean_flush	mean_caudate	detect_flush	detect_caudate	pval	qval	Gene	Ctype	dir
RPS16	5.646	4.220	0.999	0.964	2.05E-14	3.39E-12	RPS16	CD3abTcells	1
APOA2	1.965	1.089	0.926	0.599	2.91E-14	4.76E-12	APOA2	CD3abTcells	1
EIF4A2	0.546	0.159	0.486	0.120	3.28E-14	5.29E-12	EIF4A2	CD3abTcells	1
HSP90AA1	1.466	0.655	0.800	0.467	4.13E-14	6.56E-12	HSP90AA1	CD3abTcells	1
RPS23	6.471	4.790	0.999	0.970	9.00E-14	1.41E-11	RPS23	CD3abTcells	1
ATP5E	2.112	3.216	0.950	0.958	2.75E-13	4.25E-11	ATP5E	CD3abTcells	-1
BTF3	1.467	0.830	0.879	0.551	2.90E-13	4.43E-11	BTF3	CD3abTcells	1
RPL18	4.185	2.966	0.997	0.922	4.27E-13	6.45E-11	RPL18	CD3abTcells	1
RPL10A	4.287	3.101	0.997	0.904	6.52E-13	9.71E-11	RPL10A	CD3abTcells	1
DNAJA1	0.411	0.075	0.366	0.066	6.61E-13	9.73E-11	DNAJA1	CD3abTcells	1
C3	0.027	0.207	0.027	0.162	1.27E-12	1.85E-10	C3	CD3abTcells	-1
BTG2	0.449	0.104	0.372	0.072	1.69E-12	2.42E-10	BTG2	CD3abTcells	1
NDUFB1	0.284	0.814	0.277	0.497	1.72E-12	2.45E-10	NDUFB1	CD3abTcells	-1
RPL31	6.396	4.802	1.000	0.958	2.14E-12	3.01E-10	RPL31	CD3abTcells	1
SRGN	1.407	0.717	0.791	0.485	2.40E-12	3.32E-10	SRGN	CD3abTcells	1
RPL18A	7.390	5.422	1.000	0.970	3.00E-12	4.11E-10	RPL18A	CD3abTcells	1
RPL6	4.756	3.544	1.000	0.922	3.07E-12	4.16E-10	RPL6	CD3abTcells	1
FTL	5.221	9.740	1.000	0.982	3.22E-12	4.32E-10	FTL	CD3abTcells	-1
RPSA	4.718	3.461	0.999	0.934	3.35E-12	4.44E-10	RPSA	CD3abTcells	1
FOS	0.832	0.421	0.482	0.162	5.26E-12	6.89E-10	FOS	CD3abTcells	1
RPS18	12.558	9.966	1.000	0.994	5.43E-12	6.96E-10	RPS18	CD3abTcells	1
RPLP2	12.488	10.093	1.000	1.000	5.42E-12	6.96E-10	RPLP2	CD3abTcells	1
NACA	2.294	1.541	0.956	0.731	5.90E-12	7.48E-10	NACA	CD3abTcells	1
RGS2	0.318	0.027	0.270	0.024	1.12E-11	1.41E-09	RGS2	CD3abTcells	1
RSRP1	0.458	0.151	0.422	0.120	1.87E-11	2.33E-09	RSRP1	CD3abTcells	1
HP	1.420	0.686	0.815	0.467	2.22E-11	2.73E-09	HP	CD3abTcells	1
EEF1B2	2.180	1.424	0.923	0.653	2.86E-11	3.48E-09	EEF1B2	CD3abTcells	1
RPL19	7.883	6.190	1.000	0.970	3.06E-11	3.68E-09	RPL19	CD3abTcells	1
BIRC3	0.352	0.064	0.305	0.048	3.26E-11	3.89E-09	BIRC3	CD3abTcells	1
SOCS3	0.327	0.043	0.290	0.042	5.36E-11	6.33E-09	SOCS3	CD3abTcells	1
RPS6	9.102	6.930	0.999	0.994	5.47E-11	6.39E-09	RPS6	CD3abTcells	1
HLA-C	4.078	3.089	0.999	0.892	7.28E-11	8.43E-09	HLA-C	CD3abTcells	1
SLC25A6	1.089	0.602	0.777	0.407	8.78E-11	1.01E-08	SLC25A6	CD3abTcells	1
RPL21	11.172	8.947	1.000	0.994	1.14E-10	1.30E-08	RPL21	CD3abTcells	1
EIF5	0.327	0.072	0.307	0.060	1.45E-10	1.64E-08	EIF5	CD3abTcells	1
NBEAL1	0.431	0.948	0.403	0.557	1.72E-10	1.91E-08	NBEAL1	CD3abTcells	-1
CNBP	0.437	0.149	0.419	0.144	2.48E-10	2.72E-08	CNBP	CD3abTcells	1
PABPC1	1.973	1.253	0.916	0.629	2.49E-10	2.72E-08	PABPC1	CD3abTcells	1
RPL11	7.422	6.098	0.999	0.976	3.05E-10	3.31E-08	RPL11	CD3abTcells	1
CFH	0.016	0.132	0.016	0.114	3.40E-10	3.65E-08	CFH	CD3abTcells	-1
RP11-160E2.6	0.023	0.188	0.023	0.132	3.88E-10	4.13E-08	RP11-160E2.6	CD3abTcells	-1
REL	0.409	0.111	0.364	0.102	4.46E-10	4.66E-08	REL	CD3abTcells	1
RPL29	4.315	3.284	0.997	0.910	4.43E-10	4.66E-08	RPL29	CD3abTcells	1
TSC22D3	0.410	0.118	0.355	0.096	6.13E-10	6.36E-08	TSC22D3	CD3abTcells	1
HNRNPA0	0.381	0.127	0.369	0.108	7.05E-10	7.24E-08	HNRNPA0	CD3abTcells	1
IGHA1	0.289	0.074	0.274	0.048	9.98E-10	1.02E-07	IGHA1	CD3abTcells	1
FUS	0.608	0.256	0.520	0.216	1.19E-09	1.20E-07	FUS	CD3abTcells	1
FTH1	3.384	2.398	0.987	0.856	1.33E-09	1.33E-07	FTH1	CD3abTcells	1
SERPINA1	1.794	1.196	0.912	0.623	1.47E-09	1.46E-07	SERPINA1	CD3abTcells	1
HSP90AB1	0.684	0.358	0.588	0.275	1.68E-09	1.65E-07	HSP90AB1	CD3abTcells	1
SAA2	1.141	0.619	0.730	0.383	1.72E-09	1.68E-07	SAA2	CD3abTcells	1
PNRC1	0.851	0.475	0.652	0.311	2.20E-09	2.13E-07	PNRC1	CD3abTcells	1
FGL1	0.509	0.218	0.442	0.156	2.43E-09	2.34E-07	FGL1	CD3abTcells	1
RPS13	4.818	3.675	0.999	0.952	2.45E-09	2.34E-07	RPS13	CD3abTcells	1
YPEL5	0.344	0.094	0.315	0.078	3.02E-09	2.86E-07	YPEL5	CD3abTcells	1
MTRNR2L12	0.037	0.194	0.037	0.156	3.81E-09	3.58E-07	MTRNR2L12	CD3abTcells	-1
RPS10	3.370	2.555	0.987	0.880	5.45E-09	5.08E-07	RPS10	CD3abTcells	1
TMEM107	0.038	0.250	0.038	0.156	5.95E-09	5.50E-07	TMEM107	CD3abTcells	-1
AREG	0.228	0.000	0.175	0.000	6.52E-09	5.98E-07	AREG	CD3abTcells	1
HERPUD1	0.293	0.055	0.263	0.054	7.05E-09	6.42E-07	HERPUD1	CD3abTcells	1
IGLC2	0.286	0.055	0.261	0.048	7.40E-09	6.68E-07	IGLC2	CD3abTcells	1
TMA7	1.284	1.838	0.835	0.838	8.75E-09	7.84E-07	TMA7	CD3abTcells	-1
DNAJB6	0.273	0.051	0.259	0.048	9.40E-09	8.37E-07	DNAJB6	CD3abTcells	1
RPS15A	9.398	11.612	1.000	0.994	1.01E-08	8.93E-07	RPS15A	CD3abTcells	-1
RPS24	3.779	2.948	0.993	0.910	1.08E-08	9.43E-07	RPS24	CD3abTcells	1
CD37	0.641	0.320	0.557	0.275	1.11E-08	9.65E-07	CD37	CD3abTcells	1
DHCR24	0.023	0.137	0.023	0.120	1.13E-08	9.73E-07	DHCR24	CD3abTcells	-1
CITED2	0.315	0.088	0.290	0.066	1.17E-08	1.01E-06	CITED2	CD3abTcells	1
ATP1B3	0.273	0.047	0.243	0.042	1.26E-08	1.07E-06	ATP1B3	CD3abTcells	1
LDHB	0.724	0.378	0.570	0.299	1.40E-08	1.18E-06	LDHB	CD3abTcells	1
DDIT4	0.487	0.192	0.403	0.150	1.98E-08	1.67E-06	DDIT4	CD3abTcells	1
VPS37B	0.182	0.012	0.178	0.006	2.07E-08	1.73E-06	VPS37B	CD3abTcells	1
RBM3	0.666	0.359	0.578	0.287	3.58E-08	2.96E-06	RBM3	CD3abTcells	1
RPL17	1.109	1.755	0.780	0.796	4.86E-08	4.00E-06	RPL17	CD3abTcells	-1
CES1	0.061	0.246	0.061	0.186	5.65E-08	4.62E-06	CES1	CD3abTcells	-1
RP11-347P5.1	0.243	0.607	0.224	0.389	5.78E-08	4.69E-06	RP11-347P5.1	CD3abTcells	-1
ACSM2B	0.006	0.069	0.006	0.066	7.30E-08	5.88E-06	ACSM2B	CD3abTcells	-1
RPS20	6.154	5.165	0.999	0.994	8.00E-08	6.40E-06	RPS20	CD3abTcells	1
MYOM1	0.006	0.075	0.006	0.066	8.11E-08	6.44E-06	MYOM1	CD3abTcells	-1
SUMO2	0.677	0.396	0.595	0.299	8.66E-08	6.84E-06	SUMO2	CD3abTcells	1
DDX5	1.251	0.804	0.824	0.545	8.84E-08	6.93E-06	DDX5	CD3abTcells	1
OAZ1	1.246	0.821	0.824	0.497	1.08E-07	8.44E-06	OAZ1	CD3abTcells	1
CYCS	0.431	0.164	0.372	0.150	1.15E-07	8.94E-06	CYCS	CD3abTcells	1
RP5-1171I10.5	0.115	0.315	0.107	0.257	1.31E-07	1.01E-05	RP5-1171I10.5	CD3abTcells	-1
RPL5	3.506	2.819	0.984	0.922	1.85E-07	1.41E-05	RPL5	CD3abTcells	1
UBE2D3	0.490	0.247	0.457	0.192	2.03E-07	1.54E-05	UBE2D3	CD3abTcells	1
JUN	0.600	0.325	0.440	0.180	2.07E-07	1.56E-05	JUN	CD3abTcells	1
UBA52	3.406	2.768	0.997	0.904	2.11E-07	1.58E-05	UBA52	CD3abTcells	1
ANXA1	0.480	0.217	0.384	0.162	2.43E-07	1.81E-05	ANXA1	CD3abTcells	1
LYZ	0.161	0.008	0.153	0.006	2.93E-07	2.17E-05	LYZ	CD3abTcells	1
IFNG	0.373	0.057	0.206	0.036	2.98E-07	2.19E-05	IFNG	CD3abTcells	1
HNRNPDL	0.542	0.305	0.496	0.228	3.16E-07	2.28E-05	HNRNPDL	CD3abTcells	1
BRD2	0.350	0.123	0.325	0.108	3.14E-07	2.28E-05	BRD2	CD3abTcells	1
ZNF90	0.118	0.322	0.118	0.263	3.16E-07	2.28E-05	ZNF90	CD3abTcells	-1
COTL1	0.723	0.402	0.557	0.299	3.85E-07	2.76E-05	COTL1	CD3abTcells	1
LAPTM5	0.771	0.445	0.605	0.329	4.87E-07	3.46E-05	LAPTM5	CD3abTcells	1
YBX1	1.014	0.666	0.739	0.443	4.87E-07	3.46E-05	YBX1	CD3abTcells	1
RPL36A	2.963	4.088	0.987	0.958	4.96E-07	3.50E-05	RPL36A	CD3abTcells	-1
KDM6B	0.164	0.012	0.159	0.012	5.01E-07	3.51E-05	KDM6B	CD3abTcells	1
INTS6	0.281	0.083	0.268	0.078	5.68E-07	3.96E-05	INTS6	CD3abTcells	1
ATP5EP2	0.061	0.203	0.061	0.174	6.18E-07	4.28E-05	ATP5EP2	CD3abTcells	-1
RPL28	9.310	7.989	1.000	0.994	6.38E-07	4.40E-05	RPL28	CD3abTcells	1
TUBA1B	0.694	0.349	0.511	0.263	7.63E-07	5.23E-05	TUBA1B	CD3abTcells	1
FAM46C	0.158	0.014	0.153	0.012	8.84E-07	6.02E-05	FAM46C	CD3abTcells	1
HLA-B	7.137	5.928	1.000	0.964	9.17E-07	6.21E-05	HLA-B	CD3abTcells	1
RPS19	11.131	9.511	1.000	1.000	9.59E-07	6.46E-05	RPS19	CD3abTcells	1
MCL1	0.465	0.222	0.415	0.186	1.08E-06	7.20E-05	MCL1	CD3abTcells	1
CSRNP1	0.156	0.019	0.152	0.012	1.11E-06	7.42E-05	CSRNP1	CD3abTcells	1
SELK	0.398	0.160	0.349	0.138	1.22E-06	8.07E-05	SELK	CD3abTcells	1
HSPA1A	0.209	0.026	0.162	0.018	1.35E-06	8.87E-05	HSPA1A	CD3abTcells	1
SLC2A3	0.347	0.167	0.310	0.108	1.50E-06	9.80E-05	SLC2A3	CD3abTcells	1
TAGAP	0.172	0.024	0.166	0.024	1.60E-06	1.04E-04	TAGAP	CD3abTcells	1
SLC25A3	0.482	0.253	0.457	0.210	1.72E-06	1.11E-04	SLC25A3	CD3abTcells	1
ITGB2	0.516	0.268	0.442	0.204	1.76E-06	1.13E-04	ITGB2	CD3abTcells	1
EIF3F	0.555	0.312	0.507	0.257	2.03E-06	1.30E-04	EIF3F	CD3abTcells	1
SRSF7	0.515	0.274	0.459	0.228	2.08E-06	1.32E-04	SRSF7	CD3abTcells	1
H2AFZ	0.542	0.317	0.482	0.234	2.08E-06	1.32E-04	H2AFZ	CD3abTcells	1
CKS2	0.208	0.051	0.200	0.042	2.20E-06	1.39E-04	CKS2	CD3abTcells	1
PMAIP1	0.140	0.006	0.134	0.006	2.38E-06	1.49E-04	PMAIP1	CD3abTcells	1
PPP1R15A	0.227	0.063	0.216	0.054	2.60E-06	1.62E-04	PPP1R15A	CD3abTcells	1
ALDOA	0.553	0.323	0.503	0.246	2.78E-06	1.72E-04	ALDOA	CD3abTcells	1
RPL14	4.401	3.736	1.000	0.970	2.81E-06	1.73E-04	RPL14	CD3abTcells	1
ZFAND5	0.163	0.024	0.163	0.024	3.06E-06	1.88E-04	ZFAND5	CD3abTcells	1
RPS21	4.358	3.606	0.999	0.940	3.28E-06	2.00E-04	RPS21	CD3abTcells	1
SUN2	0.300	0.122	0.286	0.096	3.28E-06	2.00E-04	SUN2	CD3abTcells	1
LDHA	0.494	0.266	0.452	0.228	3.45E-06	2.09E-04	LDHA	CD3abTcells	1
RPS7	4.321	3.657	0.999	0.940	4.16E-06	2.50E-04	RPS7	CD3abTcells	1
CP	0.010	0.079	0.010	0.066	4.52E-06	2.71E-04	CP	CD3abTcells	-1
ZC3HAV1	0.355	0.155	0.320	0.132	4.95E-06	2.95E-04	ZC3HAV1	CD3abTcells	1
CALR	0.455	0.236	0.405	0.192	5.09E-06	3.02E-04	CALR	CD3abTcells	1
MLXIPL	0.004	0.063	0.004	0.048	5.40E-06	3.18E-04	MLXIPL	CD3abTcells	-1
SRSF2	0.549	0.286	0.474	0.251	5.41E-06	3.18E-04	SRSF2	CD3abTcells	1
S100A8	0.182	0.027	0.161	0.024	5.50E-06	3.22E-04	S100A8	CD3abTcells	1
TMSB4X	29.302	34.735	1.000	1.000	6.27E-06	3.65E-04	TMSB4X	CD3abTcells	-1
CD55	0.162	0.026	0.156	0.024	6.37E-06	3.68E-04	CD55	CD3abTcells	1
CD48	0.900	0.637	0.714	0.425	7.03E-06	4.05E-04	CD48	CD3abTcells	1
C8A	0.003	0.046	0.003	0.042	7.14E-06	4.09E-04	C8A	CD3abTcells	-1
FXYD5	0.632	0.373	0.533	0.299	7.51E-06	4.28E-04	FXYD5	CD3abTcells	1
ATP5I	0.381	0.788	0.371	0.485	7.68E-06	4.36E-04	ATP5I	CD3abTcells	-1
C1orf56	0.262	0.701	0.223	0.347	7.90E-06	4.44E-04	C1orf56	CD3abTcells	-1
RPS26	3.779	3.194	0.997	0.958	7.89E-06	4.44E-04	RPS26	CD3abTcells	1
SAT1	0.591	0.382	0.483	0.246	8.72E-06	4.88E-04	SAT1	CD3abTcells	1
CTD-3252C9.4	0.189	0.041	0.163	0.030	8.75E-06	4.88E-04	CTD-3252C9.4	CD3abTcells	1
RGCC	0.237	0.080	0.209	0.060	9.38E-06	5.20E-04	RGCC	CD3abTcells	1
PSMA7	0.455	0.771	0.415	0.515	1.11E-05	6.12E-04	PSMA7	CD3abTcells	-1
TUBB4B	0.295	0.120	0.273	0.102	1.12E-05	6.18E-04	TUBB4B	CD3abTcells	1
RPL36	4.991	4.178	0.999	0.970	1.13E-05	6.18E-04	RPL36	CD3abTcells	1
SNHG25	0.074	0.215	0.074	0.180	1.18E-05	6.43E-04	SNHG25	CD3abTcells	-1
RPL41	15.297	13.712	1.000	0.994	1.19E-05	6.44E-04	RPL41	CD3abTcells	1
IFRD1	0.144	0.034	0.141	0.018	1.28E-05	6.93E-04	IFRD1	CD3abTcells	1
CLEC2B	0.432	0.214	0.379	0.186	1.36E-05	7.33E-04	CLEC2B	CD3abTcells	1
UBC	1.191	0.851	0.783	0.515	1.38E-05	7.36E-04	UBC	CD3abTcells	1
PPIB	0.372	0.209	0.357	0.174	1.46E-05	7.75E-04	PPIB	CD3abTcells	1
EIF3E	0.667	0.416	0.563	0.323	1.48E-05	7.83E-04	EIF3E	CD3abTcells	1
LST1	0.058	0.179	0.055	0.150	1.50E-05	7.93E-04	LST1	CD3abTcells	-1
PPP2R5C	0.508	0.261	0.438	0.228	1.54E-05	8.11E-04	PPP2R5C	CD3abTcells	1
CH17-373J23.1	0.011	0.067	0.011	0.066	1.57E-05	8.22E-04	CH17-373J23.1	CD3abTcells	-1
KIF5B	0.136	0.018	0.136	0.018	1.58E-05	8.22E-04	KIF5B	CD3abTcells	1
DNAJB9	0.139	0.021	0.139	0.018	1.68E-05	8.71E-04	DNAJB9	CD3abTcells	1
PRMT9	0.302	0.146	0.261	0.096	1.74E-05	9.00E-04	PRMT9	CD3abTcells	1
EIF4A1	0.304	0.128	0.287	0.120	1.85E-05	9.50E-04	EIF4A1	CD3abTcells	1
SRSF3	0.617	0.415	0.531	0.293	2.09E-05	1.07E-03	SRSF3	CD3abTcells	1
CCND3	0.317	0.155	0.298	0.120	2.25E-05	1.15E-03	CCND3	CD3abTcells	1
AES	0.473	0.246	0.411	0.210	2.47E-05	1.26E-03	AES	CD3abTcells	1
RPS25	6.175	5.442	1.000	1.000	2.50E-05	1.26E-03	RPS25	CD3abTcells	1
SRSF5	0.655	0.398	0.554	0.323	3.07E-05	1.55E-03	SRSF5	CD3abTcells	1
HMGB2	0.366	0.220	0.330	0.144	3.23E-05	1.62E-03	HMGB2	CD3abTcells	1
BSG	0.208	0.072	0.203	0.060	3.45E-05	1.72E-03	BSG	CD3abTcells	1
FAM53C	0.111	0.008	0.108	0.006	3.48E-05	1.73E-03	FAM53C	CD3abTcells	1
PLP2	0.314	0.156	0.301	0.138	3.60E-05	1.78E-03	PLP2	CD3abTcells	1
DOCK7	0.000	0.024	0.000	0.024	3.92E-05	1.87E-03	DOCK7	CD3abTcells	-1
DSP	0.000	0.026	0.000	0.024	3.92E-05	1.87E-03	DSP	CD3abTcells	-1
HIST1H2AG	0.000	0.026	0.000	0.024	3.92E-05	1.87E-03	HIST1H2AG	CD3abTcells	-1
ARSE	0.000	0.030	0.000	0.024	3.92E-05	1.87E-03	ARSE	CD3abTcells	-1
C5	0.000	0.030	0.000	0.024	3.92E-05	1.87E-03	C5	CD3abTcells	-1
DEPDC7	0.000	0.028	0.000	0.024	3.92E-05	1.87E-03	DEPDC7	CD3abTcells	-1
RP11-446N19.1	0.004	0.047	0.004	0.042	3.84E-05	1.87E-03	RP11-446N19.1	CD3abTcells	-1
SHC2	0.000	0.038	0.000	0.024	3.92E-05	1.87E-03	SHC2	CD3abTcells	-1
STAP2	0.000	0.029	0.000	0.024	3.92E-05	1.87E-03	STAP2	CD3abTcells	-1
NLRC3	0.016	0.093	0.016	0.072	4.23E-05	2.01E-03	NLRC3	CD3abTcells	-1
POLR2L	0.371	0.631	0.348	0.455	4.34E-05	2.05E-03	POLR2L	CD3abTcells	-1
EIF4B	0.372	0.229	0.362	0.186	4.37E-05	2.06E-03	EIF4B	CD3abTcells	1
RP11-138A9.1	0.193	0.070	0.185	0.054	4.41E-05	2.06E-03	RP11-138A9.1	CD3abTcells	1
CEP250	0.018	0.081	0.018	0.078	4.41E-05	2.06E-03	CEP250	CD3abTcells	-1
VPS51	0.168	0.045	0.168	0.042	4.43E-05	2.07E-03	VPS51	CD3abTcells	1
LIMD2	0.504	0.294	0.455	0.240	4.66E-05	2.16E-03	LIMD2	CD3abTcells	1
ICAM3	0.384	0.219	0.374	0.174	4.71E-05	2.18E-03	ICAM3	CD3abTcells	1
PIK3R1	0.243	0.091	0.223	0.078	4.80E-05	2.21E-03	PIK3R1	CD3abTcells	1
EIF3G	0.352	0.182	0.332	0.156	5.00E-05	2.29E-03	EIF3G	CD3abTcells	1
MRPL53	0.021	0.085	0.021	0.084	5.11E-05	2.34E-03	MRPL53	CD3abTcells	-1
APOB	0.021	0.089	0.021	0.084	5.41E-05	2.46E-03	APOB	CD3abTcells	-1
DLGAP1-AS1	0.038	0.125	0.038	0.114	5.55E-05	2.52E-03	DLGAP1-AS1	CD3abTcells	-1
UQCRB	1.153	0.838	0.793	0.557	5.69E-05	2.57E-03	UQCRB	CD3abTcells	1
EIF3H	0.472	0.281	0.442	0.240	6.01E-05	2.71E-03	EIF3H	CD3abTcells	1
RPL24	2.912	2.433	0.982	0.874	6.14E-05	2.75E-03	RPL24	CD3abTcells	1
INSR	0.001	0.032	0.001	0.030	6.17E-05	2.76E-03	INSR	CD3abTcells	-1
