"mean_flush" "mean_caudate" "detect_flush" "detect_caudate" "pval" "qval" "Gene" "Ctype" "dir"
"RPL5" 3.50613135271723 2.81912506326849 0.984375 0.922155688622755 1.85027513505369e-07 1.41403718975065e-05 "RPL5" "CD3abTcells" 1
"RP11-284N8.3" 0.0200084015558342 0.0807554182553441 0.0198863636363636 0.0718562874251497 0.000361161535477145 0.0128147851963051 "RP11-284N8.3" "CD3abTcells" -1
"CD53" 0.341438311809259 0.213926762306846 0.321022727272727 0.155688622754491 0.000256360697552165 0.00961110766105946 "CD53" "CD3abTcells" 1
"RAP1A" 0.26733706883405 0.139763416990002 0.257102272727273 0.125748502994012 0.000818929259517506 0.0251630789483704 "RAP1A" "CD3abTcells" 1
"BCAS2" 0.145047248543098 0.0528430976732303 0.142045454545455 0.0419161676646707 0.000490087000560256 0.0163024224450683 "BCAS2" "CD3abTcells" 1
"FAM46C" 0.15777021935312 0.0140842702731594 0.153409090909091 0.0119760479041916 8.83936004942603e-07 6.02187717195755e-05 "FAM46C" "CD3abTcells" 1
"CH17-373J23.1" 0.0114131654432084 0.0673606078267583 0.0113636363636364 0.0658682634730539 1.57466014753029e-05 0.000821537233971778 "CH17-373J23.1" "CD3abTcells" -1
"RBM8A" 0.297016000377326 0.168600485740205 0.285511363636364 0.143712574850299 0.000472500929767461 0.0158680453089794 "RBM8A" "CD3abTcells" 1
"MCL1" 0.464682082019516 0.221566406343231 0.414772727272727 0.18562874251497 1.07562214003823e-06 7.20425120985154e-05 "MCL1" "CD3abTcells" 1
"C1orf56" 0.261534771265857 0.700957429023237 0.223011363636364 0.347305389221557 7.89747934600662e-06 0.000444121456429674 "C1orf56" "CD3abTcells" -1
"S100A8" 0.182089693001328 0.026873286996007 0.160511363636364 0.0239520958083832 5.50165608198536e-06 0.000321523253967792 "S100A8" "CD3abTcells" 1
"RPS27" 19.8052070735105 18.3081591210444 1 0.994011976047904 0.00105016588858255 0.0309137721572375 "RPS27" "CD3abTcells" 1
"DPM3" 0.0922786901142751 0.0204417035450043 0.0909090909090909 0.0179640718562874 0.00163877429775379 0.0447081628783083 "DPM3" "CD3abTcells" 1
"LMNA" 0.139420450315994 0.0297523256988001 0.120738636363636 0.0239520958083832 0.000191045123553616 0.00730012808655835 "LMNA" "CD3abTcells" 1
"ISG20L2" 0.127835902358798 0.0319325772502414 0.127840909090909 0.0239520958083832 0.000146420288775909 0.00591736502639454 "ISG20L2" "CD3abTcells" 1
"CD48" 0.899714297545958 0.636533819226777 0.714488636363636 0.425149700598802 7.03113792784282e-06 0.000404952784423875 "CD48" "CD3abTcells" 1
"APOA2" 1.96537939385156 1.08876176817699 0.926136363636364 0.598802395209581 2.91257835721256e-14 4.75667933899837e-12 "APOA2" "CD3abTcells" 1
"CACYBP" 0.17763773142156 0.0533077016915347 0.173295454545455 0.0479041916167665 6.6811466307176e-05 0.00290703029676698 "CACYBP" "CD3abTcells" 1
"RGS1" 1.26859804563268 0.187743330332342 0.5 0.0958083832335329 8.8443881724887e-20 2.06750579985118e-17 "RGS1" "CD3abTcells" 1
"RGS2" 0.318497439756969 0.0268988179525822 0.269886363636364 0.0239520958083832 1.12340294463502e-11 1.40981156904618e-09 "RGS2" "CD3abTcells" 1
"CFH" 0.0156298962898113 0.132332748366129 0.015625 0.11377245508982 3.40026122284802e-10 3.65206435124271e-08 "CFH" "CD3abTcells" -1
"BTG2" 0.448904869779442 0.104221938659149 0.372159090909091 0.0718562874251497 1.68644247489318e-12 2.42238158863572e-10 "BTG2" "CD3abTcells" 1
"CD55" 0.162035437705118 0.0260010047423094 0.15625 0.0239520958083832 6.36720751700079e-06 0.000368494407852832 "CD55" "CD3abTcells" 1
"CAPN2" 0.13759480505991 0.0449166253609738 0.134943181818182 0.0359281437125748 0.000521430713608014 0.0171253359989938 "CAPN2" "CD3abTcells" 1
"ARF1" 0.31870194568672 0.178513396082914 0.306818181818182 0.143712574850299 0.00016141340616335 0.00639325790126066 "ARF1" "CD3abTcells" 1
"RPS7" 4.32068452522446 3.65746430483958 0.998579545454545 0.940119760479042 4.15718534227271e-06 0.000250312947730178 "RPS7" "CD3abTcells" 1
"AC092580.4" 0.296006839811049 1.04773395561556 0.257102272727273 0.508982035928144 5.35118174373753e-16 9.96824824200606e-14 "AC092580.4" "CD3abTcells" -1
"APOB" 0.0214379955605666 0.0888446954596893 0.0213068181818182 0.0838323353293413 5.40991150300398e-05 0.00246171621903868 "APOB" "CD3abTcells" -1
"YPEL5" 0.34444344180953 0.0935263022758593 0.315340909090909 0.0778443113772455 3.02252939453803e-09 2.85988852711765e-07 "YPEL5" "CD3abTcells" 1
"HEATR5B" 0.00426255873410205 0.0350277383015117 0.00426136363636364 0.029940119760479 0.00173168959265509 0.0467086048046018 "HEATR5B" "CD3abTcells" -1
"SRSF7" 0.514635609195985 0.273690316326423 0.458806818181818 0.227544910179641 2.0847562539253e-06 0.000132204596060093 "SRSF7" "CD3abTcells" 1
"ZFP36L2" 1.59957632389492 0.281322909978927 0.795454545454545 0.227544910179641 5.32509512646765e-36 3.5269880054304e-33 "ZFP36L2" "CD3abTcells" 1
"REL" 0.409430034550191 0.111351440759218 0.363636363636364 0.101796407185629 4.45584162321567e-10 4.65987226596292e-08 "REL" "CD3abTcells" 1
"MRPL53" 0.0213489047200371 0.0848634218103607 0.0213068181818182 0.0838323353293413 5.11338264721317e-05 0.00233569915402588 "MRPL53" "CD3abTcells" -1
"TMSB10" 7.08368834026382 8.80008251565344 1 0.994011976047904 0.000356361851045246 0.0126822268303326 "TMSB10" "CD3abTcells" -1
"IGKC" 0.939517640942557 0.298291667571797 0.691761363636364 0.167664670658683 8.30524494699559e-26 2.91220971347298e-23 "IGKC" "CD3abTcells" 1
"DUSP2" 1.2326521356437 0.1842096307784 0.576704545454545 0.131736526946108 2.21602322914787e-23 6.95248129944759e-21 "DUSP2" "CD3abTcells" 1
"EIF5B" 0.161821974734218 0.291911894753651 0.160511363636364 0.245508982035928 0.00150343709798588 0.0412045450165234 "EIF5B" "CD3abTcells" -1
"RPL31" 6.39584296544887 4.80155372692516 1 0.958083832335329 2.14425620774863e-12 3.00750853044461e-10 "RPL31" "CD3abTcells" 1
"BIN1" 0.237408704994892 0.136708083945044 0.235795454545455 0.11377245508982 0.00134369005965523 0.0377817756868151 "BIN1" "CD3abTcells" 1
"CXCR4" 1.25473770281871 0.276885641437472 0.677556818181818 0.197604790419162 5.52380397202323e-26 2.0579622173269e-23 "CXCR4" "CD3abTcells" 1
"ARHGAP15" 0.156377933846933 0.0731118924562618 0.154829545454545 0.0538922155688623 0.00102947618278479 0.0303797402256443 "ARHGAP15" "CD3abTcells" 1
"MMADHC" 0.129657812247041 0.0473764301777214 0.129261363636364 0.0359281437125748 0.000786732294737042 0.0242362336378682 "MMADHC" "CD3abTcells" 1
"RBM43" 0.0156100729241486 0.0646049547861254 0.015625 0.0598802395209581 0.000730059688848833 0.0227252522466209 "RBM43" "CD3abTcells" -1
"NR4A2" 0.796671887921013 0.0693894640984693 0.556818181818182 0.0538922155688623 9.40388323011672e-28 4.48452383477806e-25 "NR4A2" "CD3abTcells" 1
"CYTIP" 0.311327536067333 0.162990987848412 0.299715909090909 0.149700598802395 0.000521027304750511 0.0171253359989938 "CYTIP" "CD3abTcells" 1
"NFE2L2" 0.176311783629855 0.0497348374968153 0.170454545454545 0.0479041916167665 7.25594571350904e-05 0.0031229380792944 "NFE2L2" "CD3abTcells" 1
"RP11-347P5.1" 0.243208964089364 0.607176285655311 0.224431818181818 0.389221556886228 5.77732763521155e-08 4.68553061680218e-06 "RP11-347P5.1" "CD3abTcells" -1
"NBEAL1" 0.430893652209594 0.947938021797963 0.403409090909091 0.55688622754491 1.71758730628673e-10 1.91374540799536e-08 "NBEAL1" "CD3abTcells" -1
"EEF1B2" 2.17963529006921 1.4242531342565 0.923295454545455 0.652694610778443 2.85886516555898e-11 3.47789699018308e-09 "EEF1B2" "CD3abTcells" 1
"RPL37A" 6.19662798241859 5.50563574396316 1 0.976047904191617 0.000909522594762489 0.027521138007001 "RPL37A" "CD3abTcells" 1
"WDFY1" 0.00851093753238666 0.0442371044939987 0.00852272727272727 0.0419161676646707 0.00135444417146262 0.0379945492051233 "WDFY1" "CD3abTcells" -1
"RNPEPL1" 0.177468327668544 0.0667091753680044 0.176136363636364 0.0598802395209581 0.000355304282109456 0.0126822268303326 "RNPEPL1" "CD3abTcells" 1
"RPL15" 5.38469559920547 3.50470188881635 1 0.934131736526946 5.03751809438222e-26 1.93733195874919e-23 "RPL15" "CD3abTcells" 1
"CMC1" 0.495988137146644 0.292366254788524 0.292613636363636 0.161676646706587 0.00088722713730799 0.027121851105092 "CMC1" "CD3abTcells" 1
"CSRNP1" 0.156410725534351 0.0185287775121005 0.151988636363636 0.0119760479041916 1.11469482668835e-06 7.42424118646842e-05 "CSRNP1" "CD3abTcells" 1
"RPSA" 4.71820931683465 3.46052922837145 0.998579545454545 0.934131736526946 3.35057321817031e-12 4.43839265633627e-10 "RPSA" "CD3abTcells" 1
"RPL14" 4.40127196956133 3.73594641550219 1 0.970059880239521 2.80720574969697e-06 0.000173406771750711 "RPL14" "CD3abTcells" 1
"TMA7" 1.28366944320586 1.83841631312086 0.835227272727273 0.838323353293413 8.74553174158647e-09 7.8394157461048e-07 "TMA7" "CD3abTcells" -1
"QARS" 0.140848225425922 0.0519734522138161 0.140625 0.0419161676646707 0.000620004808453051 0.0197638965945916 "QARS" "CD3abTcells" 1
"ABHD14B" 0.157484084447037 0.0640949385717117 0.15625 0.0598802395209581 0.00180481784488486 0.0480738568875992 "ABHD14B" "CD3abTcells" 1
"RPL29" 4.31484284066866 3.28387283345141 0.997159090909091 0.910179640718563 4.42505460531726e-10 4.65987226596292e-08 "RPL29" "CD3abTcells" 1
"ITIH3" 0.01136342193556 0.319014153961619 0.0113636363636364 0.263473053892216 2.99509162588062e-35 1.87934117703941e-32 "ITIH3" "CD3abTcells" -1
"SELK" 0.398156211510773 0.159783803357447 0.349431818181818 0.137724550898204 1.21784771798229e-06 8.06621138543602e-05 "SELK" "CD3abTcells" 1
"PSMD6" 0.0625321048574186 0 0.0610795454545455 0 0.0010681364233434 0.0312882615211304 "PSMD6" "CD3abTcells" 1
"MTRNR2L12" 0.0369029324409216 0.193515024053482 0.0369318181818182 0.155688622754491 3.81323923847909e-09 3.57964080323997e-07 "MTRNR2L12" "CD3abTcells" -1
"PCNP" 0.164974704630906 0.0688167198797671 0.164772727272727 0.0598802395209581 0.000714784146390522 0.0223665527382357 "PCNP" "CD3abTcells" 1
"RPL24" 2.91183616473492 2.432722432758 0.981534090909091 0.874251497005988 6.14083638382497e-05 0.00275229516420907 "RPL24" "CD3abTcells" 1
"NFKBIZ" 0.139057716896843 0.0488284657776997 0.136363636363636 0.0479041916167665 0.00189077206552002 0.0496515078527085 "NFKBIZ" "CD3abTcells" 1
"COX17" 0.15064271200709 0.300762170246079 0.149147727272727 0.25748502994012 0.00014355604670925 0.00588135803734599 "COX17" "CD3abTcells" -1
"CNBP" 0.436779247528035 0.148843816783713 0.419034090909091 0.143712574850299 2.47547925657978e-10 2.722356414065e-08 "CNBP" "CD3abTcells" 1
"ATP1B3" 0.272765402686042 0.047290395382334 0.242897727272727 0.0419161676646707 1.26065537870178e-08 1.07353810177733e-06 "ATP1B3" "CD3abTcells" 1
"CP" 0.00991337145024707 0.07944340469519 0.00994318181818182 0.0658682634730539 4.5233403337583e-06 0.00027099127366365 "CP" "CD3abTcells" -1
"DCUN1D1" 0.0254722028559343 0.109172261763951 0.0255681818181818 0.0838323353293413 0.000231875043307906 0.00874814641239512 "DCUN1D1" "CD3abTcells" -1
"AP2M1" 0.193230635545766 0.100048220382349 0.190340909090909 0.0838323353293413 0.00166888948689036 0.0454258001431663 "AP2M1" "CD3abTcells" 1
"EIF4A2" 0.545706318300156 0.158712973341601 0.485795454545455 0.119760479041916 3.28190624069604e-14 5.28741705426731e-12 "EIF4A2" "CD3abTcells" 1
"RPL35A" 5.82741931159077 5.17471179635962 1 0.970059880239521 0.00122005596551913 0.0350494149901665 "RPL35A" "CD3abTcells" 1
"ATP5I" 0.381027845315217 0.787519229592196 0.370738636363636 0.48502994011976 7.68045599832905e-06 0.000436030459105138 "ATP5I" "CD3abTcells" -1
"LYAR" 0.285604562126186 0.164523071002323 0.247159090909091 0.119760479041916 0.00182045652460682 0.0481230214775221 "LYAR" "CD3abTcells" 1
"RPL9" 5.73441110590444 3.91061354088588 0.998579545454545 0.922155688622755 2.20866624066628e-17 4.53995153814196e-15 "RPL9" "CD3abTcells" 1
"RHOH" 0.325884596913135 0.196549635386574 0.305397727272727 0.143712574850299 0.000177260217485155 0.00685557908903731 "RHOH" "CD3abTcells" 1
"JCHAIN" 0.109446877255313 0.0313774454555323 0.109375 0.0179640718562874 0.000330405390910883 0.0119005832943793 "JCHAIN" "CD3abTcells" 1
"AREG" 0.228223491132189 0 0.174715909090909 0 6.52105781302278e-09 5.98031163437366e-07 "AREG" "CD3abTcells" 1
"CCNI" 0.646691707761118 0.438276361804801 0.553977272727273 0.335329341317365 0.000177686121331365 0.00685557908903731 "CCNI" "CD3abTcells" 1
"HNRNPDL" 0.541922905551951 0.305034339792973 0.495738636363636 0.227544910179641 3.1554807933884e-07 2.28103767290086e-05 "HNRNPDL" "CD3abTcells" 1
"COQ2" 0.00704939896965483 0.0616805944804007 0.00710227272727273 0.0419161676646707 0.000477212069715608 0.0159812424021053 "COQ2" "CD3abTcells" -1
"ADH4" 0.0979641850352059 0.00830132710549326 0.09375 0.00598802395209581 0.000146114863603768 0.00591736502639454 "ADH4" "CD3abTcells" 1
"H2AFZ" 0.541559821674635 0.316968848597947 0.481534090909091 0.233532934131737 2.08355830428887e-06 0.000132204596060093 "H2AFZ" "CD3abTcells" 1
"UBE2D3" 0.490257116681973 0.247405224928855 0.457386363636364 0.191616766467066 2.02779685123022e-07 1.53983401658387e-05 "UBE2D3" "CD3abTcells" 1
"CCDC109B" 0.165003023182334 0.0515626947711446 0.163352272727273 0.0479041916167665 0.000170705815059772 0.00669376987933009 "CCDC109B" "CD3abTcells" 1
"PRMT9" 0.301887148464744 0.145763669665066 0.261363636363636 0.0958083832335329 1.74299408962155e-05 0.000899566040539745 "PRMT9" "CD3abTcells" 1
"RPS3A" 7.55202002405117 5.1901767426775 0.998579545454545 0.976047904191617 5.98645112169221e-21 1.4868847973503e-18 "RPS3A" "CD3abTcells" 1
"FGG" 0.705777422612525 0.41765481515335 0.559659090909091 0.323353293413174 7.48829718550744e-05 0.00319983795862436 "FGG" "CD3abTcells" 1
"HMGB2" 0.365748174531123 0.220425994479022 0.329545454545455 0.143712574850299 3.23474512648745e-05 0.00162036266378081 "HMGB2" "CD3abTcells" 1
"SUB1" 0.677866488369656 0.486014344519394 0.59375 0.383233532934132 0.00187911073879514 0.049454212423655 "SUB1" "CD3abTcells" 1
"PTGER4" 0.180598114690773 0.0630139972411431 0.177556818181818 0.0538922155688623 0.000113744563139883 0.00475811467281996 "PTGER4" "CD3abTcells" 1
"ITGA1" 0.0242543688991217 0.0941384073729087 0.0241477272727273 0.0718562874251497 0.0019183134261787 0.0499875036720667 "ITGA1" "CD3abTcells" -1
"GPBP1" 0.230785097331819 0.131886458158973 0.225852272727273 0.107784431137725 0.00140331699817348 0.0390895917108042 "GPBP1" "CD3abTcells" 1
"PIK3R1" 0.24286486740192 0.0905728081282808 0.223011363636364 0.0778443113772455 4.802967953365e-05 0.00221084880077288 "PIK3R1" "CD3abTcells" 1
"BTF3" 1.4667165790066 0.830479529165747 0.879261363636364 0.550898203592814 2.899210926575e-13 4.43133239315732e-11 "BTF3" "CD3abTcells" 1
"RPS23" 6.47123696356968 4.78990498484422 0.998579545454545 0.970059880239521 8.99847762744279e-14 1.41157697729438e-11 "RPS23" "CD3abTcells" 1
"ARSK" 0.00426381688205321 0.0383585800296673 0.00426136363636364 0.029940119760479 0.00175010490317749 0.0469926816569415 "ARSK" "CD3abTcells" -1
"TNFAIP8" 0.187543803913686 0.0875456405907052 0.184659090909091 0.0718562874251497 0.000727329247157709 0.0226995269230738 "TNFAIP8" "CD3abTcells" 1
"IRF1" 0.534439968965772 0.329692095012379 0.434659090909091 0.239520958083832 0.000144278616531529 0.00589032002949929 "IRF1" "CD3abTcells" 1
"UBE2B" 0.155061000013032 0.0675987672699463 0.153409090909091 0.0538922155688623 0.00129793181714427 0.0367552093206507 "UBE2B" "CD3abTcells" 1
"HNRNPA0" 0.381072320927246 0.127019107731708 0.369318181818182 0.107784431137725 7.04642723527094e-10 7.24202633611208e-08 "HNRNPA0" "CD3abTcells" 1
"FAM53C" 0.110778221797667 0.00763129645551717 0.107954545454545 0.00598802395209581 3.48258938787282e-05 0.00172997627842583 "FAM53C" "CD3abTcells" 1
"UBE2D2" 0.275739146645144 0.126079937395963 0.265625 0.11377245508982 9.45315231716187e-05 0.00398234918463618 "UBE2D2" "CD3abTcells" 1
"SPINK1" 0.68169501388488 0.44190744157777 0.528409090909091 0.323353293413174 0.000619695037857905 0.0197638965945916 "SPINK1" "CD3abTcells" 1
"CD74" 1.1386436367821 0.690798571907066 0.629261363636364 0.401197604790419 6.55694458293523e-05 0.00286343931566864 "CD74" "CD3abTcells" 1
"RPS14" 9.06946003962582 6.12891980282652 1 0.982035928143713 5.91510939765495e-26 2.13696770420734e-23 "RPS14" "CD3abTcells" 1
"NPM1" 1.11022891339236 0.520417434484962 0.774147727272727 0.389221556886228 1.21037537816025e-14 2.03240778287697e-12 "NPM1" "CD3abTcells" 1
"DUSP1" 0.860046829499116 0.131423929502725 0.559659090909091 0.0958083832335329 9.26377615943482e-23 2.62958903268528e-20 "DUSP1" "CD3abTcells" 1
"GNB2L1" 2.99341390966176 1.77178878935374 0.981534090909091 0.754491017964072 2.78172684670462e-21 7.20951031878533e-19 "GNB2L1" "CD3abTcells" 1
"DSP" 0 0.026257553051879 0 0.0239520958083832 3.92256400889898e-05 0.00187059232456375 "DSP" "CD3abTcells" -1
"MYLIP" 0.190338214540271 0.0667737931457864 0.186079545454545 0.0598802395209581 0.000123146682158247 0.00513340819821896 "MYLIP" "CD3abTcells" 1
"HIST1H4E" 0 0.0208258336961499 0 0.0179640718562874 0.000372803530516973 0.0129579116350535 "HIST1H4E" "CD3abTcells" -1
"HIST1H2AG" 0 0.0259340023253666 0 0.0239520958083832 3.92256400889898e-05 0.00187059232456375 "HIST1H2AG" "CD3abTcells" -1
"HLA-A" 3.67822988742484 2.96754880849847 0.973011363636364 0.910179640718563 0.000134291250022367 0.00555909820405091 "HLA-A" "CD3abTcells" 1
"HLA-E" 2.21694164762707 1.32272492015919 0.958806818181818 0.754491017964072 6.96586377505468e-16 1.27764658348003e-13 "HLA-E" "CD3abTcells" 1
"PPP1R10" 0.119624494217666 0.0324164248175485 0.117897727272727 0.029940119760479 0.000916094549875034 0.0275799980394196 "PPP1R10" "CD3abTcells" 1
"HLA-C" 4.07753434504476 3.0891726730665 0.998579545454545 0.892215568862275 7.28358733891269e-11 8.43057555869098e-09 "HLA-C" "CD3abTcells" 1
"HLA-B" 7.13660870431914 5.92778750830816 1 0.964071856287425 9.16871145285901e-07 6.21076011028324e-05 "HLA-B" "CD3abTcells" 1
"LST1" 0.0581792048386301 0.179176397292202 0.0553977272727273 0.149700598802395 1.50239155713541e-05 0.000792544785140193 "LST1" "CD3abTcells" -1
"HSPA1A" 0.209115269526521 0.026390221905664 0.161931818181818 0.0179640718562874 1.34672119254409e-06 8.87050279420478e-05 "HSPA1A" "CD3abTcells" 1
"C6orf48" 0.297113587671625 0.148353824684418 0.279829545454545 0.131736526946108 0.000241155732662797 0.00906958563030243 "C6orf48" "CD3abTcells" 1
"BRD2" 0.350035973821484 0.123260892440874 0.325284090909091 0.107784431137725 3.13500873299717e-07 2.28103767290086e-05 "BRD2" "CD3abTcells" 1
"HLA-DPA1" 0.255808541559313 0.130478169830714 0.231534090909091 0.0958083832335329 0.000339194324140168 0.0121803455795153 "HLA-DPA1" "CD3abTcells" 1
"RPS18" 12.5582964921871 9.9655914467843 1 0.994011976047904 5.42901802499797e-12 6.95965084881998e-10 "RPS18" "CD3abTcells" 1
"RPS10" 3.36970263632108 2.55474375473625 0.987215909090909 0.880239520958084 5.45213974610058e-09 5.0781570353915e-07 "RPS10" "CD3abTcells" 1
"RPL10A" 4.28703512936104 3.10101127241185 0.997159090909091 0.904191616766467 6.51682084262486e-13 9.7116922607217e-11 "RPL10A" "CD3abTcells" 1
"SRSF3" 0.617403318556043 0.415428377784703 0.53125 0.293413173652695 2.09261674296074e-05 0.00107073720212781 "SRSF3" "CD3abTcells" 1
"MTCH1" 0.115156208097289 0.0383847838272743 0.115056818181818 0.029940119760479 0.00106495204983415 0.0312718185668048 "MTCH1" "CD3abTcells" 1
"CCND3" 0.316977958033796 0.155086017470617 0.298295454545455 0.119760479041916 2.25450084398722e-05 0.00114863927615451 "CCND3" "CD3abTcells" 1
"HSP90AB1" 0.683759385552028 0.357576405705367 0.588068181818182 0.275449101796407 1.67689901491254e-09 1.65223058312292e-07 "HSP90AB1" "CD3abTcells" 1
"DST" 0.00142615918218328 0.0323459044922623 0.00142045454545455 0.0239520958083832 0.000531626052235429 0.0172698795497297 "DST" "CD3abTcells" -1
"ZNF451" 0.0299140524050978 0.0969122235904488 0.0298295454545455 0.0838323353293413 0.00112060317047242 0.0325056715288862 "ZNF451" "CD3abTcells" -1
"EEF1A1" 17.6436168222007 7.58086856620905 1 0.988023952095808 1.82360504955298e-69 1.67238610775158e-66 "EEF1A1" "CD3abTcells" 1
"PNRC1" 0.85108883995964 0.475119263975465 0.651988636363636 0.311377245508982 2.19842860073326e-09 2.13086713641804e-07 "PNRC1" "CD3abTcells" 1
"AMD1" 0.29427722580003 0.156830542541064 0.282670454545455 0.131736526946108 0.000316493634728924 0.0115389514166307 "AMD1" "CD3abTcells" 1
"FYN" 0.35381621460162 0.23411015042782 0.338068181818182 0.167664670658683 0.000390289601950549 0.0134093159494365 "FYN" "CD3abTcells" 1
"TNFAIP3" 0.445598962320051 0.057747580703664 0.362215909090909 0.0419161676646707 3.85094766987957e-15 6.85238777914989e-13 "TNFAIP3" "CD3abTcells" 1
"CITED2" 0.315491488834479 0.0878681174398196 0.289772727272727 0.0658682634730539 1.17255804620577e-08 1.00570050552987e-06 "CITED2" "CD3abTcells" 1
"TAGAP" 0.172079758232634 0.0238282507054739 0.166193181818182 0.0239520958083832 1.60234945471463e-06 0.000104389126771081 "TAGAP" "CD3abTcells" 1
"MRPL18" 0.129384756578652 0.0250868399940348 0.126420454545455 0.0239520958083832 0.000156595609622366 0.00622310952639283 "MRPL18" "CD3abTcells" 1
"MPC1" 0.112282660261547 0.0244262283861142 0.112215909090909 0.0239520958083832 0.000544616482393092 0.0175484262245688 "MPC1" "CD3abTcells" 1
"CYCS" 0.430522644935961 0.163508720825225 0.372159090909091 0.149700598802395 1.15441245808125e-07 8.93695150989911e-06 "CYCS" "CD3abTcells" 1
"STK17A" 0.344238702174063 0.210210977130031 0.316761363636364 0.167664670658683 0.00136124748649028 0.0380957571219181 "STK17A" "CD3abTcells" 1
"MYO1G" 0.181836324085476 0.0706325609813569 0.176136363636364 0.0598802395209581 0.000323793874835963 0.0116977896236192 "MYO1G" "CD3abTcells" 1
"CHCHD2" 0.844604679339923 0.655132756083193 0.681818181818182 0.461077844311377 0.000962807814240019 0.0286964869034238 "CHCHD2" "CD3abTcells" 1
"SBDS" 0.17808583826086 0.081884350236759 0.174715909090909 0.0598802395209581 0.000413858218412373 0.0141336294079591 "SBDS" "CD3abTcells" 1
"MLXIPL" 0.00428770762466011 0.0628318546930529 0.00426136363636364 0.0479041916167665 5.40127745472919e-06 0.000317679492883147 "MLXIPL" "CD3abTcells" -1
"EIF4H" 0.177602823770298 0.0772627698160151 0.177556818181818 0.0658682634730539 0.000708818204650543 0.0222382385153784 "EIF4H" "CD3abTcells" 1
"STYXL1" 0.00287541405962459 0.0421653388839233 0.00284090909090909 0.029940119760479 0.000423125085779641 0.0142903605457929 "STYXL1" "CD3abTcells" -1
"CYP3A5" 0.00425200832111631 0.0312636026884309 0.00426136363636364 0.029940119760479 0.0018127867709036 0.0480738568875992 "CYP3A5" "CD3abTcells" -1
